name,url,description,test_type,duration,adaptive_support,remote_support
Automata Fix New,https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,SHL assessment for Automata Fix New,['K'],60,No,Yes
Core Java Entry Level New,https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,SHL assessment for Core Java Entry Level New,['K'],60,No,Yes
Java 8 New,https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,SHL assessment for Java 8 New,['K'],60,No,Yes
Core Java Advanced Level New,https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,SHL assessment for Core Java Advanced Level New,['K'],60,No,Yes
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,SHL assessment for Interpersonal Communications,['K'],60,No,Yes
Entry Level Sales 7 1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,SHL assessment for Entry Level Sales 7 1,['K'],60,No,Yes
Entry Level Sales Sift Out 7 1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,SHL assessment for Entry Level Sales Sift Out 7 1,['K'],60,No,Yes
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,SHL assessment for Entry Level Sales Solution,['K'],60,No,Yes
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,SHL assessment for Sales Representative Solution,['K'],60,No,Yes
Business Communication Adaptive,https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,SHL assessment for Business Communication Adaptive,['K'],60,No,Yes
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,SHL assessment for Technical Sales Associate Solution,['K'],60,No,Yes
Svar Spoken English Indian Accent New,https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,SHL assessment for Svar Spoken English Indian Accent New,['K'],60,No,Yes
English Comprehension New,https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,SHL assessment for English Comprehension New,['K'],60,No,Yes
Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,SHL assessment for Enterprise Leadership Report,['K'],60,No,Yes
Occupational Personality Questionnaire Opq32R,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,SHL assessment for Occupational Personality Questionnaire Opq32R,['K'],60,No,Yes
Opq Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,SHL assessment for Opq Leadership Report,['K'],60,No,Yes
Opq Team Types And Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report,SHL assessment for Opq Team Types And Leadership Styles Report,['K'],60,No,Yes
